molid,identifiere,X0,X1,X2,X3,X4,X5,X0A,X1A,X2A,X3A,X4A,X5A,X0v,X1v,X2v,X3v,X4v,X5v,X0Av,X1Av,X2Av,X3Av,X4Av,X5Av,X0sol,X1sol,X2sol,X3sol,X4sol,X5sol,XMOD,RDCHI,RDSQ
1,C10H14O,8.4309999999999992,5.109,4.7720000000000002,3.5819999999999999,2.1949999999999998,1.744,0.76600000000000001,0.46400000000000002,0.318,0.21099999999999999,0.129,0.086999999999999994,7.1840000000000002,3.9630000000000001,3.2930000000000001,2.2770000000000001,1.276,0.89100000000000001,0.65300000000000002,0.35999999999999999,0.22,0.13400000000000001,0.074999999999999997,0.044999999999999998,8.4309999999999992,5.109,4.7720000000000002,3.5819999999999999,2.1949999999999998,1.744,31.231999999999999,2.1680000000000001,56.293999999999997
2,C5H10O3,6.569,3.681,3.0099999999999998,1.8819999999999999,0.78900000000000003,0.33300000000000002,0.82099999999999995,0.52600000000000002,0.376,0.26900000000000002,0.19700000000000001,0.16700000000000001,5.048,2.528,1.4279999999999999,0.628,0.26300000000000001,0.121,0.63100000000000001,0.36099999999999999,0.17899999999999999,0.089999999999999997,0.066000000000000003,0.059999999999999998,6.569,3.681,3.0099999999999998,1.8819999999999999,0.78900000000000003,0.33300000000000002,24.146999999999998,1.788,27.791
3,C10H18O,8.4309999999999992,5.109,4.8029999999999999,3.3540000000000001,2.6789999999999998,1.4630000000000001,0.76600000000000001,0.46400000000000002,0.32000000000000001,0.19700000000000001,0.14099999999999999,0.081000000000000003,7.508,4.444,3.9380000000000002,2.7120000000000002,1.9259999999999999,1.2130000000000001,0.68300000000000005,0.40400000000000003,0.26300000000000001,0.16,0.10100000000000001,0.067000000000000004,8.4309999999999992,5.109,4.8029999999999999,3.3540000000000001,2.6789999999999998,1.4630000000000001,31.231999999999999,2.1600000000000001,56.552999999999997
4,C10H18O,8.4309999999999992,5.109,4.8029999999999999,3.3540000000000001,2.6789999999999998,1.4630000000000001,0.76600000000000001,0.46400000000000002,0.32000000000000001,0.19700000000000001,0.14099999999999999,0.081000000000000003,7.7619999999999996,4.6360000000000001,4.2030000000000003,2.738,1.927,1.2050000000000001,0.70599999999999996,0.42099999999999999,0.28000000000000003,0.161,0.10100000000000001,0.067000000000000004,8.4309999999999992,5.109,4.8029999999999999,3.3540000000000001,2.6789999999999998,1.4630000000000001,31.231999999999999,2.1600000000000001,56.552999999999997
5,C10H14O,8.4309999999999992,5.109,4.7720000000000002,3.5819999999999999,2.1949999999999998,1.744,0.76600000000000001,0.46400000000000002,0.318,0.21099999999999999,0.129,0.086999999999999994,7.1840000000000002,3.9630000000000001,3.2930000000000001,2.2770000000000001,1.276,0.89100000000000001,0.65300000000000002,0.35999999999999999,0.22,0.13400000000000001,0.074999999999999997,0.044999999999999998,8.4309999999999992,5.109,4.7720000000000002,3.5819999999999999,2.1949999999999998,1.744,31.231999999999999,2.1680000000000001,56.293999999999997
6,C10H18O,8.4309999999999992,5.109,4.8029999999999999,3.3540000000000001,2.6789999999999998,1.4630000000000001,0.76600000000000001,0.46400000000000002,0.32000000000000001,0.19700000000000001,0.14099999999999999,0.081000000000000003,7.508,4.444,3.9380000000000002,2.7120000000000002,1.9259999999999999,1.2130000000000001,0.68300000000000005,0.40400000000000003,0.26300000000000001,0.16,0.10100000000000001,0.067000000000000004,8.4309999999999992,5.109,4.8029999999999999,3.3540000000000001,2.6789999999999998,1.4630000000000001,31.231999999999999,2.1600000000000001,56.552999999999997
7,C10H18O,8.4309999999999992,5.109,4.8029999999999999,3.3540000000000001,2.6789999999999998,1.4630000000000001,0.76600000000000001,0.46400000000000002,0.32000000000000001,0.19700000000000001,0.14099999999999999,0.081000000000000003,7.7619999999999996,4.6360000000000001,4.2030000000000003,2.738,1.927,1.2050000000000001,0.70599999999999996,0.42099999999999999,0.28000000000000003,0.161,0.10100000000000001,0.067000000000000004,8.4309999999999992,5.109,4.8029999999999999,3.3540000000000001,2.6789999999999998,1.4630000000000001,31.231999999999999,2.1600000000000001,56.552999999999997
8,C10H16,7.3529999999999998,4.6210000000000004,4.915,4.2039999999999997,3.0590000000000002,2.0489999999999999,0.73499999999999999,0.41999999999999998,0.27300000000000002,0.16800000000000001,0.109,0.068000000000000005,7.1459999999999999,4.2880000000000003,4.4900000000000002,3.7450000000000001,2.5409999999999999,1.5800000000000001,0.71499999999999997,0.39000000000000001,0.249,0.14999999999999999,0.090999999999999998,0.052999999999999999,7.3529999999999998,4.6210000000000004,4.915,4.2039999999999997,3.0590000000000002,2.0489999999999999,27.725999999999999,2.1179999999999999,57.518999999999998
9,C10H20O,8.4830000000000005,5.016,5.234,3.2240000000000002,2.6030000000000002,1.4490000000000001,0.77100000000000002,0.45600000000000002,0.32700000000000001,0.19,0.13700000000000001,0.090999999999999998,7.9299999999999997,4.6970000000000001,4.8239999999999998,2.8420000000000001,2.121,1.3049999999999999,0.72099999999999997,0.42699999999999999,0.30199999999999999,0.16700000000000001,0.112,0.082000000000000003,8.4830000000000005,5.016,5.234,3.2240000000000002,2.6030000000000002,1.4490000000000001,30.672000000000001,2.117,57.707000000000001
10,C10H20O,8.4830000000000005,5.016,5.234,3.2240000000000002,2.6030000000000002,1.4490000000000001,0.77100000000000002,0.45600000000000002,0.32700000000000001,0.19,0.13700000000000001,0.090999999999999998,7.9299999999999997,4.6970000000000001,4.8239999999999998,2.8420000000000001,2.121,1.3049999999999999,0.72099999999999997,0.42699999999999999,0.30199999999999999,0.16700000000000001,0.112,0.082000000000000003,8.4830000000000005,5.016,5.234,3.2240000000000002,2.6030000000000002,1.4490000000000001,30.672000000000001,2.117,57.707000000000001
11,C5H10O2,5.8620000000000001,3.181,2.6299999999999999,1.782,0.47099999999999997,0.0,0.83699999999999997,0.53000000000000003,0.376,0.29699999999999999,0.23599999999999999,0.0,4.6399999999999997,2.4089999999999998,1.6479999999999999,1.034,0.17499999999999999,0.0,0.66300000000000003,0.40200000000000002,0.23499999999999999,0.17199999999999999,0.086999999999999994,0.0,5.8620000000000001,3.181,2.6299999999999999,1.782,0.47099999999999997,0.0,20.239000000000001,1.627,22.388999999999999
12,C5H10O2,5.8620000000000001,3.181,2.6299999999999999,1.782,0.47099999999999997,0.0,0.83699999999999997,0.53000000000000003,0.376,0.29699999999999999,0.23599999999999999,0.0,4.6399999999999997,2.4089999999999998,1.6479999999999999,1.034,0.17499999999999999,0.0,0.66300000000000003,0.40200000000000002,0.23499999999999999,0.17199999999999999,0.086999999999999994,0.0,5.8620000000000001,3.181,2.6299999999999999,1.782,0.47099999999999997,0.0,20.239000000000001,1.627,22.388999999999999
13,C10H16,7.3529999999999998,4.6210000000000004,4.915,4.2039999999999997,3.0590000000000002,2.0489999999999999,0.73499999999999999,0.41999999999999998,0.27300000000000002,0.16800000000000001,0.109,0.068000000000000005,7.1459999999999999,4.2880000000000003,4.4900000000000002,3.7450000000000001,2.5409999999999999,1.5800000000000001,0.71499999999999997,0.39000000000000001,0.249,0.14999999999999999,0.090999999999999998,0.052999999999999999,7.3529999999999998,4.6210000000000004,4.915,4.2039999999999997,3.0590000000000002,2.0489999999999999,27.725999999999999,2.1179999999999999,57.518999999999998
14,C13H24O2,11.682,7.1509999999999998,5.3689999999999998,4.1139999999999999,2.3319999999999999,1.45,0.77900000000000003,0.51100000000000001,0.33600000000000002,0.24199999999999999,0.155,0.104,10.507,5.9909999999999997,3.903,2.6139999999999999,1.331,0.78600000000000003,0.69999999999999996,0.42799999999999999,0.24399999999999999,0.154,0.088999999999999996,0.056000000000000001,11.682,7.1509999999999998,5.3689999999999998,4.1139999999999999,2.3319999999999999,1.45,44.296999999999997,2.6360000000000001,75.971000000000004
15,C8H18O,6.9500000000000002,4.4139999999999997,2.7679999999999998,1.7070000000000001,1.03,0.60399999999999998,0.77200000000000002,0.55200000000000005,0.39500000000000002,0.28499999999999998,0.20599999999999999,0.151,6.3970000000000002,4.0229999999999997,2.4910000000000001,1.512,0.89200000000000002,0.50600000000000001,0.71099999999999997,0.503,0.35599999999999998,0.252,0.17799999999999999,0.126,6.9500000000000002,4.4139999999999997,2.7679999999999998,1.7070000000000001,1.03,0.60399999999999998,27.192,2.1499999999999999,30.132000000000001
