molid,identifiere,Ui,Hy,AMR,TPSA(NO),TPSA(Tot),MLOGP,MLOGP2,ALOGP,ALOGP2,LAI,GVWAI-80,GVWAI-50,Inflammat-80,Inflammat-50,Depressant-80,Depressant-50,Psychotic-80,Psychotic-50,Hypertens-80,Hypertens-50,Hypnotic-80,Hypnotic-50,Neoplastic-80,Neoplastic-50,Infective-80,Infective-50,BLTF96,BLTD48,BLTA96,ALOGPS_logP,ALOGPS_logS
18,C8H10O,2.8069999999999999,-0.21299999999999999,37.292000000000002,20.23,20.23,1.925,3.7040000000000002,1.603,2.5699999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0299999999999998,-3.1499999999999999,-3.1499999999999999,1.5800000000000001,-0.90000000000000002
19,C3H8O,0.0,0.32300000000000001,17.533999999999999,20.23,20.23,0.34699999999999998,0.12,0.51500000000000001,0.26500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6799999999999999,-1.6499999999999999,-1.5800000000000001,0.20999999999999999,0.81000000000000005
20,C10H18O,0.0,-0.877,45.704999999999998,9.2300000000000004,9.2300000000000004,2.5019999999999998,6.2619999999999996,2.2829999999999999,5.2119999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.52,-3.7000000000000002,-3.73,2.3100000000000001,-3.4300000000000002
21,C4H8O,1.0,-0.71899999999999997,20.821999999999999,17.07,17.07,0.65500000000000003,0.42899999999999999,0.42299999999999999,0.17899999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.95,-1.9399999999999999,-1.8799999999999999,0.40999999999999998,0.11
22,C7H14O,1.0,-0.82799999999999996,34.625,17.07,17.07,1.7949999999999999,3.2229999999999999,1.792,3.2090000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9199999999999999,-3.0299999999999998,-3.0299999999999998,1.9199999999999999,-1.7
23,C6H12O,1.0,-0.80200000000000005,30.024000000000001,17.07,17.07,1.4419999999999999,2.0800000000000001,1.335,1.7829999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6200000000000001,-2.6899999999999999,-2.6699999999999999,1.45,-1.0900000000000001
24,C6H10O,1.585,-0.80200000000000005,30.998000000000001,17.07,17.07,1.335,1.7809999999999999,1.8200000000000001,3.3119999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.52,-2.5899999999999999,-2.5600000000000001,1.74,-1.0700000000000001
25,C8H16O,1.0,-0.84799999999999998,39.225999999999999,17.07,17.07,2.129,4.532,2.2480000000000002,5.0519999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2000000000000002,-3.3399999999999999,-3.3599999999999999,2.54,-2.25
26,C8H10O,2.8069999999999999,-0.21299999999999999,37.628999999999998,20.23,20.23,1.925,3.7040000000000002,1.5469999999999999,2.3919999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0299999999999998,-3.1499999999999999,-3.1499999999999999,1.51,-1.03
27,C8H11N,2.8069999999999999,0.63,39.286000000000001,26.02,26.02,1.925,3.7040000000000002,1.2569999999999999,1.5800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0299999999999998,-3.1499999999999999,-3.1499999999999999,1.4099999999999999,-1.74
28,C10H18O,1.0,-0.877,46.573,17.07,17.07,2.3570000000000002,5.5579999999999998,2.8010000000000002,7.8460000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.3900000000000001,-3.5600000000000001,-3.5899999999999999,2.9100000000000001,-2.5099999999999998
29,C10H18O,1.0,-0.877,46.573,17.07,17.07,2.3570000000000002,5.5579999999999998,2.8010000000000002,7.8460000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.3900000000000001,-3.5600000000000001,-3.5899999999999999,2.9100000000000001,-2.5099999999999998
30,C10H18O,1.0,-0.877,46.573,17.07,17.07,2.3570000000000002,5.5579999999999998,2.8010000000000002,7.8460000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.3900000000000001,-3.5600000000000001,-3.5899999999999999,2.9100000000000001,-2.5099999999999998
31,C10H18O,1.0,-0.877,46.573,17.07,17.07,2.3570000000000002,5.5579999999999998,2.8010000000000002,7.8460000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.3900000000000001,-3.5600000000000001,-3.5899999999999999,2.9100000000000001,-2.5099999999999998
32,C10H18O,1.0,-0.877,46.447000000000003,17.07,17.07,2.3570000000000002,5.5579999999999998,2.5510000000000002,6.508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.3900000000000001,-3.5600000000000001,-3.5899999999999999,3.1200000000000001,-2.4100000000000001
33,C10H18O,1.0,-0.877,46.447000000000003,17.07,17.07,2.3570000000000002,5.5579999999999998,2.5510000000000002,6.508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.3900000000000001,-3.5600000000000001,-3.5899999999999999,3.1200000000000001,-2.4100000000000001
34,C7H5Cl3O,2.8069999999999999,-0.61399999999999999,46.936,9.2300000000000004,9.2300000000000004,3.617,13.085000000000001,3.8069999999999999,14.492000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-4.46,-4.7599999999999998,-4.8499999999999996,4.0,-3.9500000000000002
