molid,identifiere,W3D,J3D,H3D,AGDD,DDI,ADDD,G1,G2,RGyr,SPAN,SPAM,MEcc,SPH,ASP,FDI,PJI3,L/Bw,SEig,HOMA,RCI,AROM,HOMT,DISPm,QXXm,QYYm,QZZm,DISPv,QXXv,QYYv,QZZv,DISPe,QXXe,QYYe,QZZe,DISPp,QXXp,QYYp,QZZp,G(N..N),G(N..O),G(N..S),G(N..P),G(N..F),G(N..Cl),G(N..Br),G(N..I),G(O..O),G(O..S),G(O..P),G(O..F),G(O..Cl),G(O..Br),G(O..I),G(S..S),G(S..P),G(S..F),G(S..Cl),G(S..Br),G(S..I),G(P..P),G(P..F),G(P..Cl),G(P..Br),G(P..I),G(F..F),G(F..Cl),G(F..Br),G(F..I),G(Cl..Cl),G(Cl..Br),G(Cl..I),G(Br..Br),G(Br..I),G(I..I)
11,C5H10O2,407.30900000000003,5.7800000000000002,54.378999999999998,47.918999999999997,133.684,15.728,7.1630000000000003,4.1310000000000002,1.9259999999999999,3.589,0.45900000000000002,0.998,0.70199999999999996,0.39500000000000002,0.93400000000000005,0.91600000000000004,3.3999999999999999,32.32,0.0,0.0,0.0,0.0,12.266,9.8239999999999998,27.143000000000001,33.594999999999999,3.004,11.898999999999999,26.818000000000001,33.149000000000001,0.45000000000000001,29.173999999999999,63.064999999999998,76.218000000000004,0.082000000000000003,13.552,29.597999999999999,36.442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,C5H10O2,407.31,5.7800000000000002,54.378,47.918999999999997,133.685,15.728,7.1630000000000003,4.1310000000000002,1.9259999999999999,3.589,0.45900000000000002,0.998,0.70199999999999996,0.39500000000000002,0.93400000000000005,0.91600000000000004,3.3999999999999999,32.320999999999998,0.0,0.0,0.0,0.0,12.209,9.8239999999999998,27.143000000000001,33.594000000000001,2.98,11.898999999999999,26.818000000000001,33.149000000000001,0.44800000000000001,29.173999999999999,63.064999999999998,76.218000000000004,0.082000000000000003,13.552,29.597999999999999,36.442999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,C10H16,1100.3989999999999,3.093,113.75,84.646000000000001,320.82900000000001,24.678999999999998,11.648,5.9880000000000004,2.0089999999999999,3.492,0.36599999999999999,0.93000000000000005,0.32300000000000001,0.10299999999999999,0.95699999999999996,0.86199999999999999,2.1299999999999999,52.271000000000001,0.0,0.0,0.0,0.0,1.9059999999999999,20.934000000000001,34.231000000000002,36.725000000000001,2.093,34.743000000000002,54.100999999999999,57.557000000000002,0.012999999999999999,76.072999999999993,113.569,119.905,0.13300000000000001,40.002000000000002,61.667000000000002,65.489999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,C13H24O2,3792.585,7.8259999999999996,196.11699999999999,194.49199999999999,702.0,36.0,18.175000000000001,8.8659999999999997,3.4470000000000001,6.6829999999999998,0.41399999999999998,0.999,0.83899999999999997,0.379,0.93000000000000005,0.64600000000000002,3.1400000000000001,78.113,0.012,0.0,0.0,0.036999999999999998,6.7519999999999998,57.744,163.01499999999999,203.78,3.9590000000000001,85.936000000000007,226.10900000000001,286.988,0.16,180.38399999999999,439.565,556.13300000000004,0.20699999999999999,97.456999999999994,252.05699999999999,320.24299999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,C8H18O,1546.5650000000001,6.3090000000000002,110.018,114.56,353.84100000000001,26.210000000000001,8.2780000000000005,4.9660000000000002,3.359,5.9560000000000004,0.46999999999999997,1.0,0.88400000000000001,0.89800000000000002,0.97799999999999998,0.96499999999999997,36.420000000000002,52.832000000000001,0.0,0.0,0.0,0.0,7.2640000000000002,4.5090000000000003,121.08799999999999,123.465,0.59999999999999998,10.792,144.03999999999999,147.256,0.27700000000000002,30.709,303.733,310.572,0.13300000000000001,13.271000000000001,159.87799999999999,163.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,C5H12O,501.10300000000001,5.5979999999999999,58.844000000000001,55.677999999999997,152.63200000000001,16.959,5.0430000000000001,3.2599999999999998,2.282,4.0709999999999997,0.47599999999999998,1.0,0.78600000000000003,0.80300000000000005,0.94999999999999996,0.75,17.68,34.215000000000003,0.0,0.0,0.0,0.0,6.5780000000000003,2.8410000000000002,37.378999999999998,38.887999999999998,0.84699999999999998,6.7750000000000004,43.131,45.171999999999997,0.26000000000000001,19.257999999999999,98.275000000000006,102.613,0.14499999999999999,8.3290000000000006,48.280000000000001,50.578000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,C8H10O,585.85299999999995,3.133,61.936999999999998,61.668999999999997,174.529,18.370999999999999,9.5519999999999996,5.4249999999999998,2.1200000000000001,3.6549999999999998,0.439,0.995,0.74199999999999999,0.36899999999999999,0.97299999999999998,0.84699999999999998,3.8199999999999998,37.381,0.99099999999999999,1.3819999999999999,1.0,5.944,4.6699999999999999,12.568,37.509,42.527999999999999,7.7080000000000002,17.103999999999999,47.177999999999997,55.606000000000002,0.16800000000000001,38.203000000000003,93.457999999999998,110.334,0.55300000000000005,19.417999999999999,52.213000000000001,61.802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,C8H10O,585.91499999999996,3.133,61.936,61.674999999999997,174.542,18.373000000000001,9.5500000000000007,5.4249999999999998,2.1200000000000001,3.6549999999999998,0.439,0.99399999999999999,0.73499999999999999,0.36699999999999999,0.97299999999999998,0.84699999999999998,3.96,37.393000000000001,0.99099999999999999,1.3819999999999999,1.0,5.944,4.6719999999999997,12.552,37.838000000000001,42.215000000000003,7.7699999999999996,17.085000000000001,47.338999999999999,55.488,0.16800000000000001,38.167000000000002,93.906999999999996,109.97199999999999,0.55700000000000005,19.396999999999998,52.371000000000002,61.694000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,C3H8O,168.672,4.6859999999999999,30.469000000000001,28.111999999999998,65.966999999999999,10.994999999999999,2.9860000000000002,2.1219999999999999,1.5649999999999999,2.8090000000000002,0.48399999999999999,0.999,0.65500000000000003,0.66000000000000003,0.92400000000000004,0.63800000000000001,9.1400000000000006,22.18,0.0,0.0,0.0,0.0,5.6790000000000003,1.786,11.677,12.664,1.0629999999999999,4.0099999999999998,13.525,14.694000000000001,0.23400000000000001,11.432,34.048000000000002,36.529000000000003,0.154,4.9169999999999998,15.398,16.696000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,C10H18O,1474.8109999999999,3.1589999999999998,135.05600000000001,101.711,403.601,27.835000000000001,13.712,6.7050000000000001,2.1930000000000001,3.8570000000000002,0.36499999999999999,0.97099999999999997,0.47299999999999998,0.215,0.96799999999999997,0.83599999999999997,3.1299999999999999,58.527999999999999,0.0,0.0,0.0,0.0,1.286,22.219000000000001,49.176000000000002,52.287999999999997,0.88400000000000001,36.798000000000002,75.075000000000003,80.997,0.036999999999999998,83.206000000000003,155.64099999999999,167.203,0.070000000000000007,42.566000000000003,85.176000000000002,91.951999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
