molid,identifiere,MW,AMW,Sv,Se,Sp,Ss,Mv,Me,Mp,Ms,nAT,nSK,nBT,nBO,nBM,SCBO,ARR,nCIC,nCIR,RBN,RBF,nDB,nTB,nAB,nH,nC,nN,nO,nP,nS,nF,nCL,nBR,nI,nB,nHM,nX,nR03,nR04,nR05,nR06,nR07,nR08,nR09,nR10,nR11,nR12,nBnz
877,C15H24O2,236.38999999999999,5.7699999999999996,23.199999999999999,40.259999999999998,25.050000000000001,37.670000000000002,0.56999999999999995,0.97999999999999998,0.60999999999999999,2.2200000000000002,41.0,17.0,40.0,16.0,4.0,20.0,0.0,0.0,0.0,7.0,0.17499999999999999,4.0,0.0,0.0,24.0,15.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
878,C8H14O2,142.22,5.9299999999999997,13.210000000000001,23.84,14.24,24.829999999999998,0.55000000000000004,0.98999999999999999,0.58999999999999997,2.48,24.0,10.0,23.0,9.0,2.0,11.0,0.0,0.0,0.0,4.0,0.17399999999999999,2.0,0.0,0.0,14.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
879,C7H8O3,140.15000000000001,7.79,10.93,18.52,11.41,26.829999999999998,0.60999999999999999,1.03,0.63,2.6800000000000002,18.0,10.0,18.0,10.0,6.0,13.5,0.5,1.0,1.0,3.0,0.16700000000000001,1.0,0.0,5.0,8.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
880,C9H12O3,168.21000000000001,7.0099999999999998,14.119999999999999,24.280000000000001,14.93,29.829999999999998,0.58999999999999997,1.01,0.62,2.4900000000000002,24.0,12.0,24.0,12.0,6.0,15.5,0.41699999999999998,1.0,1.0,5.0,0.20799999999999999,1.0,0.0,5.0,12.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
881,C6H6O3,126.12,8.4100000000000001,9.3300000000000001,15.630000000000001,9.6500000000000004,27.329999999999998,0.62,1.04,0.64000000000000001,3.04,15.0,9.0,15.0,9.0,6.0,12.5,0.55600000000000005,1.0,1.0,2.0,0.13300000000000001,1.0,0.0,5.0,6.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
882,C20H42O,298.62,4.7400000000000002,33.07,60.880000000000003,36.439999999999998,37.829999999999998,0.52000000000000002,0.96999999999999997,0.57999999999999996,1.8,63.0,21.0,62.0,20.0,0.0,20.0,0.0,0.0,0.0,14.0,0.22600000000000001,0.0,0.0,0.0,42.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
883,C7H8N2O,136.16999999999999,7.5599999999999996,11.289999999999999,18.18,11.75,26.0,0.63,1.01,0.65000000000000002,2.6000000000000001,18.0,10.0,18.0,10.0,7.0,14.0,0.59999999999999998,1.0,1.0,1.0,0.056000000000000001,1.0,0.0,6.0,8.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
884,C8H12N2,136.22,6.1900000000000004,12.98,21.620000000000001,13.82,20.329999999999998,0.58999999999999997,0.97999999999999998,0.63,2.0299999999999998,22.0,10.0,22.0,10.0,6.0,13.0,0.59999999999999998,1.0,1.0,2.0,0.090999999999999998,0.0,0.0,6.0,12.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
885,C4H6O3,102.09999999999999,7.8499999999999996,7.3300000000000001,13.630000000000001,7.6500000000000004,20.5,0.56000000000000005,1.05,0.58999999999999997,2.9300000000000002,13.0,7.0,13.0,7.0,1.0,8.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
886,C11H16O3,196.27000000000001,6.54,17.32,30.050000000000001,18.449999999999999,32.829999999999998,0.57999999999999996,1.0,0.62,2.3500000000000001,30.0,14.0,30.0,14.0,6.0,17.5,0.35699999999999998,1.0,1.0,7.0,0.23300000000000001,1.0,0.0,5.0,16.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
887,C12H18O3,210.30000000000001,6.3700000000000001,18.920000000000002,32.93,20.219999999999999,34.329999999999998,0.56999999999999995,1.0,0.60999999999999999,2.29,33.0,15.0,33.0,15.0,6.0,18.5,0.33300000000000002,1.0,1.0,8.0,0.24199999999999999,1.0,0.0,5.0,18.0,12.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
